PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1628404,75,Josh Hart,1610612752,NYK,77,37.6,5.2,10.0,0.525,1.1,3.3,0.333,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,13.6,26.2
1628386,76,Jarrett Allen,1610612739,CLE,82,28.0,5.5,7.8,0.706,0.0,0.1,0.0,2.4,3.4,0.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,13.5,25.9
1630168,77,Onyeka Okongwu,1610612737,ATL,74,27.9,5.2,9.2,0.567,0.6,2.0,0.324,2.2,2.9,0.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,13.4,23.4
201566,78,Russell Westbrook,1610612743,DEN,75,27.9,5.0,11.1,0.449,1.3,3.9,0.323,2.1,3.1,0.661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,13.3,18.9
1630230,79,Naji Marshall,1610612742,DAL,69,27.8,5.2,10.3,0.508,0.9,3.2,0.275,1.9,2.3,0.813,1.1,3.7,4.8,3.0,1.0,0.2,1.6,13.2,17.4
1629060,80,Rui Hachimura,1610612747,LAL,59,31.7,5.0,9.8,0.509,1.7,4.2,0.413,1.5,1.9,0.77,1.3,3.7,5.0,1.4,0.8,0.4,0.8,13.1,16.6
203471,81,Dennis Schröder,1610612765,DET,150,28.1,4.5,11.0,0.406,1.7,4.9,0.342,2.4,2.9,0.838,0.4,2.3,2.6,5.4,0.9,0.2,1.9,13.1,16.1
201572,82,Brook Lopez,1610612749,MIL,80,31.8,4.9,9.7,0.509,1.7,4.7,0.373,1.4,1.7,0.826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,13.0,17.9
1642259,83,Alex Sarr,1610612764,WAS,67,27.1,4.9,12.4,0.394,1.6,5.1,0.308,1.7,2.5,0.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,13.0,16.5
1629640,84,Keldon Johnson,1610612759,SAS,77,23.9,4.8,10.0,0.482,1.1,3.6,0.318,1.9,2.5,0.773,1.5,3.4,4.8,1.6,0.6,0.3,1.0,12.7,15.8
1630703,85,Scoot Henderson,1610612757,POR,66,26.7,4.3,10.4,0.419,1.6,4.5,0.354,2.4,3.1,0.767,0.8,2.2,3.0,5.1,1.0,0.2,2.7,12.7,15.7
1626156,86,D'Angelo Russell,1610612751,BKN,116,25.5,4.3,11.0,0.39,1.9,6.2,0.314,2.1,2.5,0.834,0.3,2.4,2.8,5.1,1.0,0.4,1.9,12.6,15.4
1642258,87,Zaccharie Risacher,1610612737,ATL,75,24.6,4.8,10.4,0.458,1.6,4.6,0.355,1.4,2.0,0.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,12.6,13.1
1629660,88,Ty Jerome,1610612739,CLE,70,19.9,4.6,8.8,0.516,1.6,3.6,0.439,1.8,2.1,0.872,0.7,1.8,2.5,3.4,1.1,0.0,1.3,12.5,15.8
1630583,89,Santi Aldama,1610612763,MEM,65,25.5,4.8,10.0,0.483,1.8,5.0,0.368,1.0,1.4,0.691,1.4,5.0,6.4,2.9,0.8,0.4,1.1,12.5,17.8
1631099,90,Keegan Murray,1610612758,SAC,76,34.3,4.8,10.8,0.444,2.0,5.9,0.343,0.8,0.9,0.833,1.9,4.8,6.7,1.4,0.8,0.9,0.8,12.4,16.2
203084,91,Harrison Barnes,1610612759,SAS,82,27.2,4.2,8.3,0.508,1.9,4.4,0.433,2.0,2.4,0.809,1.2,2.6,3.8,1.7,0.5,0.2,0.6,12.3,15.7
1641731,92,Bilal Coulibaly,1610612764,WAS,59,33.0,4.5,10.6,0.421,1.1,3.8,0.281,2.3,3.1,0.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,12.3,16.8
1630183,93,Jaden McDaniels,1610612750,MIN,82,31.9,4.9,10.2,0.477,1.2,3.7,0.33,1.3,1.6,0.813,1.6,4.2,5.7,2.0,1.3,0.9,1.2,12.2,16.9
1627747,94,Caris LeVert,1610612737,ATL,128,24.9,4.4,9.4,0.467,1.7,4.4,0.373,1.7,2.4,0.71,0.6,2.5,3.2,3.4,0.9,0.5,1.2,12.1,15.6
203497,95,Rudy Gobert,1610612750,MIN,72,33.2,4.7,7.1,0.669,0.0,0.0,0.0,2.6,3.8,0.674,3.7,7.2,10.9,1.8,0.8,1.4,1.2,12.0,25.9
1630598,96,Aaron Wiggins,1610612760,OKC,76,22.9,4.7,9.6,0.488,1.7,4.5,0.383,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,12.0,13.8
1631105,97,Jalen Duren,1610612765,DET,78,26.1,4.8,7.0,0.692,0.0,0.0,0.0,2.1,3.1,0.669,3.6,6.8,10.3,2.7,0.7,1.1,1.7,11.8,24.8
1641764,98,Brandin Podziemski,1610612744,GSW,64,26.8,4.4,9.8,0.445,1.8,4.8,0.372,1.1,1.5,0.758,1.0,4.1,5.1,3.4,1.1,0.2,1.2,11.7,16.0
1628978,99,Donte DiVincenzo,1610612750,MIN,62,25.9,4.0,9.6,0.422,2.8,7.1,0.397,0.8,1.0,0.778,0.5,3.2,3.7,3.6,1.2,0.3,1.6,11.7,14.1
1630557,100,Corey Kispert,1610612764,WAS,61,26.3,4.2,9.3,0.451,2.0,5.4,0.364,1.2,1.4,0.852,0.6,2.4,3.0,1.7,0.4,0.2,1.0,11.6,12.0
