PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
1630556,Kessler Edwards,1610612742,DAL,24.0,30,597.0,9.0,6.5,2.5,2.2,0.0,2.5,5.8,0.1,0.3,0.4,0.286,0.714,0.1,1.1,1.3,1.3,0.7,0.095,0.905,1.0,0.524
201142,Kevin Durant,1610612756,PHX,36.0,62,2265.0,6.1,2.9,3.1,1.5,0.0,0.4,0.8,0.1,0.2,0.3,0.429,0.571,0.0,0.6,0.6,0.6,0.3,0.026,0.974,1.0,0.553
1628989,Kevin Huerter,1610612741,CHI,26.0,69,1679.0,5.4,3.1,2.3,3.0,0.0,0.7,1.6,0.1,0.4,0.5,0.182,0.818,0.1,0.3,0.4,0.4,0.2,0.176,0.824,1.0,0.412
1628995,Kevin Knox II,1610612744,GSW,25.0,9,69.0,8.9,4.7,4.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201567,Kevin Love,1610612748,MIA,36.0,21,238.0,4.7,3.2,1.5,4.4,0.3,2.4,5.6,0.3,0.8,1.1,0.286,0.714,0.9,1.7,2.6,2.4,1.2,0.353,0.647,1.0,0.5
1641755,Kevin McCullar Jr.,1610612752,NYK,24.0,3,26.0,8.3,6.9,1.4,2.8,0.0,0.0,0.0,0.0,2.8,2.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629645,Kevin Porter Jr.,1610612749,MIL,25.0,74,1452.0,5.0,2.6,2.4,3.4,0.0,0.2,0.5,0.3,0.6,0.9,0.324,0.676,0.1,0.6,0.7,0.7,0.4,0.148,0.852,1.0,0.593
1626172,Kevon Looney,1610612744,GSW,29.0,76,1142.0,13.1,9.7,3.4,2.7,0.0,5.9,14.6,0.6,0.4,1.0,0.606,0.394,1.3,1.9,3.2,3.1,2.2,0.4,0.6,0.99,0.69
1641718,Keyonte George,1610612762,UTA,21.0,67,2108.0,3.1,1.2,1.9,1.3,0.1,0.5,1.1,0.2,0.3,0.5,0.406,0.594,0.0,0.2,0.2,0.2,0.1,0.154,0.846,1.0,0.385
203114,Khris Middleton,1610612764,WAS,33.0,37,843.0,4.2,1.7,2.6,2.6,0.3,0.4,0.9,0.5,0.3,0.8,0.667,0.333,0.0,1.2,1.2,1.2,0.5,0.0,1.0,0.931,0.414
