PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio_percentile,late_clock_efficiency_percentile,clutch_ast_tov_percentile,efg_pct_percentile,deflections_per_36_percentile,screen_assists_per_36_percentile,shooting_foul_pct_percentile,personal_foul_rate_percentile,age_percentile,ast_pct_percentile,composite_weighted_iq,rank_weighted_iq
1629048,Goga Bitadze,1610612753,C,70,20.4,61.0,81.2,58.9,79.6,49.0,34.7,22.4,11.3,40.7,49.7,103.0,125
1627759,Jaylen Brown,1610612738,SF,63,34.3,44.3,32.1,21.5,22.2,56.3,38.9,90.6,50.7,67.7,73.3,102.0,126
203897,Zach LaVine,1610612758,SG,74,35.2,25.7,42.9,11.1,90.8,27.3,81.6,23.8,92.3,74.3,62.3,102.0,127
1629014,Anfernee Simons,1610612757,SG,70,32.7,78.7,27.4,62.0,25.3,18.7,4.6,70.2,91.7,40.7,78.3,102.0,128
1629656,Quentin Grimes,1610612755,SG,75,26.8,31.0,92.9,62.0,73.6,49.7,31.0,21.4,58.3,29.7,60.7,102.0,129
1631109,Mark Williams,1610612766,C,44,26.6,30.0,95.8,15.8,65.3,29.0,63.3,53.1,25.0,19.3,55.3,102.0,130
1642272,Jared McCain,1610612755,SG,23,25.7,35.7,61.9,0.0,63.2,26.3,16.1,94.0,66.0,1.0,57.0,102.0,131
1629060,Rui Hachimura,1610612747,PF,59,31.7,44.7,82.0,52.2,75.0,48.7,26.9,65.4,80.0,50.3,5.0,102.0,132
1629001,De'Anthony Melton,1610612751,SG,6,20.2,37.7,50.0,46.1,37.9,85.0,50.6,50.0,0.3,50.3,72.0,102.0,133
1630703,Scoot Henderson,1610612757,PG,66,26.7,56.3,42.1,85.9,32.8,89.7,15.5,29.8,12.3,1.0,89.7,102.0,134
1630541,Moses Moody,1610612744,SG,74,22.3,52.7,88.1,56.9,46.0,85.7,35.6,48.8,58.3,12.7,16.3,102.0,135
1642354,KJ Simpson,1610612766,PG,36,23.4,60.0,8.8,42.1,0.0,63.7,91.4,64.9,61.7,12.7,67.3,102.0,136
1641709,Ausar Thompson,1610612765,SF,59,22.5,37.0,69.8,0.0,53.7,97.0,77.8,37.7,4.0,12.7,46.7,101.0,137
203935,Marcus Smart,1610612764,PG,34,20.0,61.0,91.2,58.9,24.1,79.3,34.5,7.0,39.3,79.7,74.7,101.0,138
203497,Rudy Gobert,1610612750,C,72,33.2,25.7,72.9,11.1,87.8,54.3,95.9,40.8,43.7,88.3,11.3,101.0,139
202331,Paul George,1610612755,PF,41,32.5,38.0,66.0,21.5,26.9,98.3,9.6,57.7,43.7,94.3,71.0,101.0,140
1630175,Cole Anthony,1610612763,PG,67,18.4,59.7,50.0,80.8,25.9,39.7,43.1,50.0,4.0,29.7,82.0,101.0,141
1631165,Keon Ellis,1610612758,SG,80,24.4,38.3,52.4,21.5,96.6,97.3,87.4,10.7,22.0,40.7,15.0,101.0,142
1630215,Jared Butler,1610612755,SG,60,17.4,89.3,64.3,82.5,19.5,52.7,3.4,15.5,22.0,29.7,94.7,101.0,143
1641878,Damion Baugh,1610612766,SG,15,24.7,47.0,4.8,10.4,0.0,82.0,35.6,96.4,75.0,29.7,75.7,101.0,144
1630249,Vít Krejčí,1610612737,PG,57,20.2,90.3,50.9,62.0,98.3,13.0,15.5,5.3,22.0,29.7,55.3,100.0,145
1628970,Miles Bridges,1610612766,PF,64,31.7,52.7,12.0,46.5,11.5,33.3,40.4,82.7,92.3,50.3,74.7,100.0,146
1631197,Jared Rhoden,1610612761,SG,14,16.2,49.3,17.9,0.0,64.4,56.3,50.6,89.3,25.0,40.7,31.0,100.0,147
1641706,Brandon Miller,1610612766,SF,27,34.2,16.3,11.3,17.2,16.7,80.0,96.3,88.7,34.0,12.7,62.3,100.0,148
1629669,Jaylen Nowell,1610612740,SG,8,21.0,76.7,0.0,77.1,1.1,23.7,41.4,95.2,85.7,40.7,52.3,100.0,149
1630544,Tre Mann,1610612766,PG,13,24.5,31.0,77.2,17.2,48.3,20.7,56.9,54.4,43.7,19.3,72.3,100.0,150
1642267,Bub Carrington,1610612764,PG,82,30.0,82.7,28.1,85.9,37.9,22.7,63.8,15.8,39.3,0.0,72.3,100.0,151
1626171,Bobby Portis,1610612749,PF,49,25.4,44.7,52.0,52.2,32.7,41.7,76.9,59.6,43.7,74.3,40.7,100.0,152
1628384,OG Anunoby,1610612752,PF,74,36.6,30.3,62.0,62.0,55.8,94.7,30.8,53.8,66.0,60.7,17.3,100.0,153
1627824,Guerschon Yabusele,1610612755,C,70,27.1,44.7,33.3,62.0,63.3,64.0,34.7,59.2,28.7,74.3,35.7,100.0,154
1630534,Ochai Agbaji,1610612761,SG,64,27.2,54.7,9.5,57.6,89.7,70.3,65.5,31.0,50.7,29.7,13.3,99.0,155
1631105,Jalen Duren,1610612765,C,78,26.1,32.0,93.8,11.1,91.8,30.0,81.6,14.3,4.0,6.0,48.7,99.0,156
1630167,Obi Toppin,1610612754,PF,79,19.6,47.7,32.0,53.2,88.5,14.0,51.9,46.2,58.3,50.3,36.3,99.0,157
202692,Alec Burks,1610612748,SG,49,17.6,49.3,85.7,0.0,85.1,10.7,26.4,50.0,96.0,92.7,23.0,99.0,158
1630585,Marcus Garrett,1610612766,SG,4,19.8,72.7,7.1,50.0,5.7,66.3,0.0,91.7,2.3,50.3,81.3,99.0,159
1630168,Onyeka Okongwu,1610612737,C,74,27.9,58.3,56.2,62.0,65.3,63.3,40.8,30.6,19.3,29.7,34.0,99.0,160
1630557,Corey Kispert,1610612764,SF,61,26.3,41.7,56.6,51.5,64.8,9.0,72.2,56.6,69.3,40.7,26.0,99.0,161
1642268,Isaiah Collier,1610612762,PG,71,25.9,71.3,29.8,42.1,5.2,41.7,74.1,26.3,34.0,1.0,95.0,99.0,162
1631107,Nikola Jović,1610612748,PF,46,25.1,69.7,52.0,85.9,51.9,21.7,38.5,19.2,50.7,6.0,56.3,98.0,163
1626157,Karl-Anthony Towns,1610612752,C,72,35.0,12.0,66.7,46.5,55.1,69.0,42.9,63.3,13.7,74.3,44.3,98.0,164
203471,Dennis Schröder,1610612765,PG,75,28.1,89.0,19.3,80.8,22.4,59.0,25.9,1.8,28.7,84.7,90.7,98.0,165
1630529,Herbert Jones,1610612740,SF,20,32.4,49.3,54.7,98.7,11.1,99.3,90.7,9.4,12.3,50.3,44.3,98.0,166
1642264,Stephon Castle,1610612759,PG,81,26.7,54.3,19.3,54.9,13.8,56.3,51.7,50.9,43.7,1.0,76.7,98.0,167
1626179,Terry Rozier,1610612748,PG,64,25.9,70.7,12.3,62.0,6.9,14.3,63.8,66.7,94.7,79.7,49.7,98.0,168
1631094,Paolo Banchero,1610612753,PF,46,34.4,32.7,22.0,21.5,21.2,22.7,50.0,78.8,69.3,12.7,84.0,97.0,169
1631110,Jeremy Sochan,1610612759,PF,54,25.3,25.7,60.0,44.4,53.8,45.7,88.5,40.4,16.3,6.0,43.0,97.0,170
1630625,Dalano Banton,1610612757,PG,67,16.7,52.3,61.4,85.9,10.3,28.0,6.9,52.6,85.7,40.7,73.7,97.0,171
1631260,AJ Green,1610612749,SG,73,22.7,91.7,20.2,83.2,93.1,9.0,66.7,7.1,19.3,40.7,17.3,97.0,172
1630241,Sam Merrill,1610612739,SG,71,19.7,91.7,1.2,83.2,66.7,30.0,70.1,16.7,25.0,67.7,25.3,97.0,173
1631131,Oscar Tshiebwe,1610612762,C,14,18.2,2.3,60.4,50.0,71.4,41.7,65.3,98.0,19.3,40.7,2.0,97.0,174
1641733,Nick Smith Jr.,1610612766,SG,60,22.8,43.0,76.2,21.5,8.0,1.7,71.3,71.4,75.0,1.0,57.0,97.0,175
1641705,Victor Wembanyama,1610612759,C,46,33.2,12.3,12.5,21.5,32.7,95.3,12.2,91.8,58.3,6.0,62.3,97.0,176
1626181,Norman Powell,1610612746,SG,60,32.6,12.7,29.8,11.1,81.6,67.3,13.8,72.6,75.0,84.7,28.7,96.0,177
1630639,A.J. Lawson,1610612761,SG,26,18.7,61.0,60.7,58.9,20.7,13.7,50.6,88.1,22.0,29.7,23.0,96.0,178
1631117,Walker Kessler,1610612762,C,58,30.0,11.7,85.4,39.1,89.8,43.7,57.1,34.7,43.7,19.3,16.3,96.0,179
1630527,Brandon Boston,1610612740,SG,42,23.6,49.3,40.5,54.2,14.9,69.0,41.4,58.3,50.7,19.3,43.0,96.0,180
201143,Al Horford,1610612738,C,60,27.6,84.0,6.2,80.1,22.4,24.7,16.3,67.3,91.7,99.0,30.7,96.0,181
1629634,Brandon Clarke,1610612763,PF,64,18.9,38.3,86.0,46.5,94.2,40.0,69.2,9.6,5.7,67.7,10.3,96.0,182
1641731,Bilal Coulibaly,1610612764,SF,59,33.0,35.3,1.9,62.0,1.9,86.3,70.4,67.9,50.7,1.0,50.3,96.0,183
1642347,Jamal Shead,1610612761,PG,75,19.6,84.0,47.4,42.1,17.2,52.7,6.9,19.3,10.0,12.7,91.7,96.0,184
1627752,Taurean Prince,1610612749,SF,80,27.1,57.3,64.2,21.5,90.7,66.0,3.7,13.2,43.7,79.7,24.3,95.0,185
1629018,Gary Trent Jr.,1610612749,SG,74,25.6,61.0,21.4,0.0,70.1,75.3,16.1,63.1,61.7,50.3,5.0,95.0,186
1629022,Lonnie Walker IV,1610612755,SG,20,23.8,59.0,39.3,58.6,37.9,16.7,9.2,52.4,80.0,50.3,55.3,95.0,187
1642449,Tolu Smith,1610612765,PF,1,22.4,0.0,50.0,0.0,98.1,0.0,98.1,98.1,1.7,29.7,0.0,95.0,188
203992,Bogdan Bogdanović,1610612746,SG,54,25.0,59.3,64.3,0.0,37.9,62.7,78.2,0.0,19.3,88.3,51.7,95.0,189
1629052,Oshae Brissett,1610612755,SF,6,23.7,0.7,98.1,10.8,68.5,80.0,96.3,34.0,16.3,50.3,0.3,95.0,190
1641710,Anthony Black,1610612753,PG,78,24.2,43.3,68.4,21.5,19.0,81.0,48.3,21.1,25.0,6.0,65.7,95.0,191
203114,Khris Middleton,1610612764,SF,37,22.8,86.3,0.0,21.5,48.1,46.3,22.2,3.8,25.0,92.7,85.7,94.0,192
1631301,Jaylen Sims,1610612766,SG,6,18.6,28.7,48.8,0.0,35.6,2.3,50.6,97.6,25.0,50.3,52.3,94.0,193
202699,Tobias Harris,1610612765,PF,73,31.6,49.3,20.0,62.0,36.5,48.0,61.5,42.3,69.3,88.3,27.3,94.0,194
1629021,Moritz Wagner,1610612753,C,30,18.8,2.7,4.2,18.5,75.5,84.7,20.4,79.6,16.3,60.7,43.0,94.0,195
1629684,Grant Williams,1610612766,PF,16,29.9,16.0,74.0,92.6,50.0,46.7,94.2,11.5,16.3,50.3,33.3,94.0,196
1628381,John Collins,1610612762,PF,40,30.5,1.7,96.0,8.4,69.2,44.3,80.8,30.8,19.3,60.7,32.7,94.0,197
1630166,Deni Avdija,1610612757,SF,72,30.0,23.3,50.9,46.5,53.7,50.7,24.1,32.1,39.3,29.7,67.7,94.0,198
1628971,Bruce Brown,1610612740,PG,41,22.5,61.0,40.4,58.9,12.1,55.7,87.9,14.0,39.3,67.7,40.0,93.0,199
203954,Joel Embiid,1610612755,C,19,30.2,19.3,14.6,11.1,2.0,38.7,44.9,89.8,50.7,79.7,82.7,93.0,200
201572,Brook Lopez,1610612749,C,80,31.8,36.7,39.6,21.5,61.2,35.0,51.0,57.1,61.7,97.3,13.0,93.0,201
1629599,Amir Coffey,1610612746,SG,72,24.3,49.3,57.1,62.0,71.3,14.7,63.2,27.4,58.3,60.7,4.3,93.0,202
1627884,Derrick Jones Jr.,1610612746,SF,77,24.3,3.3,83.0,18.9,87.0,59.0,85.2,22.6,34.0,60.7,1.3,93.0,203
1630591,Jalen Suggs,1610612753,PG,35,28.6,15.7,3.5,62.0,27.6,92.3,43.1,42.1,16.3,19.3,74.3,92.0,204
1631342,Daeqwon Plowden,1610612737,SG,6,11.9,0.3,98.8,50.0,98.9,0.3,0.0,98.8,1.0,50.3,0.3,92.0,205
1629655,Daniel Gafford,1610612742,C,57,21.5,12.7,91.7,21.5,95.9,31.3,44.9,20.4,3.0,50.3,28.7,92.0,206
1641729,Brice Sensabaugh,1610612762,SF,71,20.2,5.3,41.5,46.5,92.6,17.3,13.0,66.0,39.3,6.0,37.0,92.0,207
1641739,Toumani Camara,1610612757,PF,78,32.7,30.3,40.0,21.5,48.1,90.0,71.2,21.2,25.0,29.7,25.3,92.0,208
1627742,Brandon Ingram,1610612761,SF,18,33.1,20.0,50.0,46.5,33.3,12.3,18.5,50.0,43.7,60.7,85.7,92.0,209
1627741,Buddy Hield,1610612744,SG,82,22.7,24.0,22.6,41.4,54.0,56.0,27.6,57.1,50.7,88.3,31.7,91.0,210
1630560,Cam Thomas,1610612751,SG,25,31.2,28.0,45.2,9.1,20.7,5.0,41.4,56.0,80.0,19.3,77.0,91.0,211
1631166,Drew Timme,1610612751,PF,9,28.2,17.0,28.0,39.7,9.6,19.3,78.8,94.2,31.7,29.7,41.7,91.0,212
1631213,Tyrese Martin,1610612751,SG,60,21.9,38.3,11.9,85.9,25.3,15.7,28.7,65.5,75.0,40.7,47.7,91.0,213
1628997,Caleb Martin,1610612742,SF,45,27.1,44.7,96.2,62.0,3.7,65.0,66.7,0.0,50.7,74.3,31.7,91.0,214
1641783,Tristan da Silva,1610612753,SF,74,22.0,54.7,71.7,57.6,7.4,10.3,38.9,54.7,75.0,19.3,30.0,91.0,215
