Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
517,Cam Christie,19,LAC,SG,13,0,59,4.3,14.6,.292,1.2,7.9,.154,3.1,6.7,.455,.333,1.2,2.4,.500,1.8,5.5,7.3,3.7,3.1,0.6,1.2,2.4,11.0,,chrisca02
518,P.J. Tucker,39,NYK,SF,3,1,58,1.9,4.3,.429,1.9,3.7,.500,0.0,0.6,.000,.643,0.0,0.0,,2.5,2.5,5.0,0.0,0.6,0.6,0.6,5.0,5.6,,tuckepj01
519,Jazian Gortman,21,DAL,PG,16,0,57,5.7,14.5,.391,2.5,6.9,.364,3.2,7.6,.417,.478,1.3,2.5,.500,0.6,2.5,3.2,3.8,1.3,0.6,3.2,5.7,15.2,,gortmja01
520,Liam Robbins,25,MIL,C,13,0,57,1.3,5.1,.250,0.0,1.3,.000,1.3,3.8,.333,.250,3.2,6.3,.500,4.4,3.2,7.6,1.3,1.3,1.3,3.8,5.7,5.7,,robbili01
521,E.J. Liddell,24,CHI,PF,12,0,53,5.4,10.2,.533,2.0,6.8,.300,3.4,3.4,1.000,.633,1.4,1.4,1.000,2.0,4.1,6.1,2.0,0.7,0.7,1.4,7.5,14.3,,liddeej01
522,Jackson Rowe,28,GSW,PF,6,0,52,5.5,11.8,.471,2.1,6.9,.300,3.5,4.8,.714,.559,2.1,4.2,.500,2.1,5.5,7.6,2.8,2.8,0.0,0.7,2.8,15.2,,roweja01
523,N'Faly Dante,23,HOU,C,4,0,51,7.1,9.2,.769,0.0,0.0,,7.1,9.2,.769,.769,2.8,3.5,.800,4.2,10.6,14.8,1.4,0.7,3.5,1.4,6.4,16.9,,nfalyda01
524,Isaiah Crawford,23,SAC,SF,15,0,46,3.9,8.6,.455,0.8,3.9,.200,3.1,4.7,.667,.500,1.6,3.1,.500,0.8,5.5,6.3,0.8,0.8,1.6,0.8,1.6,10.2,,crawfis01
525,Mason Jones,26,SAC,SG,10,0,45,7.2,14.4,.500,0.8,6.4,.125,6.4,8.0,.800,.528,3.2,4.0,.800,1.6,5.6,7.2,8.8,0.0,0.8,0.8,2.4,18.4,,jonesma05
526,Phillip Wheeler,22,PHI,PF,5,0,44,2.5,17.2,.143,0.0,8.2,.000,2.5,9.0,.273,.143,1.6,1.6,1.000,1.6,4.9,6.5,1.6,0.8,1.6,0.8,0.8,6.5,,wheelph02
