PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio_percentile,late_clock_efficiency_percentile,clutch_ast_tov_percentile,efg_pct_percentile,deflections_per_36_percentile,screen_assists_per_36_percentile,loose_balls_per_36_percentile,shooting_foul_pct_percentile,smart_shot_selection_percentile,age_percentile,ast_pct_percentile
1627832,Fred VanVleet,1610612745,PG,60,35.2,97.0,14.4,90.7,10.0,79.0,63.7,63.0,34.1,83.9,81.0,72.6
1630544,Tre Mann,1610612766,PG,13,24.5,31.0,58.9,18.0,23.7,21.7,40.0,63.0,27.2,3.4,23.0,72.6
1628415,Dillon Brooks,1610612745,SF,75,31.8,41.7,12.3,50.7,41.3,39.7,58.3,1.3,55.1,78.1,71.3,10.6
202691,Klay Thompson,1610612742,SF,72,27.3,38.3,50.0,52.7,39.7,15.3,40.0,10.3,12.2,78.8,94.7,31.5
1642449,Tolu Smith,1610612765,PF,1,22.4,0.0,50.0,6.3,97.7,0.0,99.7,0.0,0.0,95.5,35.0,0.0
1626171,Bobby Portis,1610612749,PF,49,25.4,44.7,59.2,49.7,34.0,45.7,80.3,10.3,40.1,26.4,77.0,40.8
202699,Tobias Harris,1610612765,PF,73,31.6,49.3,31.8,63.7,42.7,28.0,71.7,24.7,53.3,21.6,90.0,27.4
1628404,Josh Hart,1610612752,SG,77,37.6,87.3,78.8,56.0,73.7,63.3,78.7,94.3,71.1,40.8,77.0,70.9
1628386,Jarrett Allen,1610612739,C,82,28.0,31.7,96.9,26.7,99.3,48.3,95.7,63.0,62.4,99.7,55.7,24.7
1630168,Onyeka Okongwu,1610612737,C,74,27.9,58.3,87.0,74.0,85.7,56.0,87.0,63.0,86.1,71.2,23.0,33.9
201566,Russell Westbrook,1610612743,PG,75,27.9,58.0,12.3,26.7,24.7,82.3,25.3,63.0,50.9,25.0,97.0,90.8
1630230,Naji Marshall,1610612742,SF,69,27.8,54.7,74.0,95.3,52.0,48.3,40.0,63.0,31.4,55.5,55.7,54.1
203471,Dennis Schröder,1610612765,PG,75,28.1,89.0,14.4,82.3,10.7,48.3,16.0,77.3,94.8,51.4,81.0,90.4
1629060,Rui Hachimura,1610612747,PF,59,31.7,44.7,84.9,26.7,85.0,28.0,40.0,10.3,35.9,33.6,55.7,5.1
1642259,Alex Sarr,1610612764,C,67,27.1,22.0,31.5,97.7,3.3,35.0,97.0,63.0,58.2,8.2,0.0,45.2
201572,Brook Lopez,1610612749,C,80,31.8,36.7,78.4,73.0,82.3,18.0,86.3,1.3,65.2,12.3,98.0,13.4
1629021,Moritz Wagner,1610612753,C,30,18.8,2.7,24.0,21.3,92.7,97.0,89.7,42.7,49.5,85.3,63.7,43.2
1629640,Keldon Johnson,1610612759,SF,77,23.9,32.7,33.2,82.7,42.3,21.7,25.3,63.0,39.0,63.4,35.0,28.8
1627763,Malcolm Brogdon,1610612764,PG,24,23.5,82.0,86.3,74.3,4.0,28.0,25.3,24.7,4.9,30.1,85.3,88.0
1630703,Scoot Henderson,1610612757,PG,66,26.7,56.3,27.4,98.7,13.7,90.3,5.0,88.7,51.9,29.8,3.0,89.4
1626156,D'Angelo Russell,1610612751,PG,58,25.5,86.0,21.6,60.0,7.7,79.0,58.3,3.3,80.1,9.6,71.3,92.1
1642258,Zaccharie Risacher,1610612737,SF,75,24.6,5.3,69.2,24.3,44.3,48.3,40.0,24.7,64.5,33.6,0.0,8.6
1630583,Santi Aldama,1610612763,PF,65,25.5,84.7,64.0,75.7,69.0,21.7,40.0,24.7,33.4,25.0,23.0,51.7
1629660,Ty Jerome,1610612739,SG,70,19.9,83.7,80.1,62.7,90.7,94.7,40.0,24.7,17.4,82.5,63.7,80.1
1631099,Keegan Murray,1610612758,PF,76,34.3,44.7,45.9,95.0,43.7,10.7,52.7,24.7,67.9,4.5,23.0,2.4
1629022,Lonnie Walker IV,1610612755,SG,20,23.8,59.0,31.2,57.0,39.7,15.3,5.0,10.3,38.3,72.6,46.0,55.5
1630245,Ayo Dosunmu,1610612741,SG,46,30.3,91.7,2.7,80.0,60.0,21.7,25.3,63.0,54.7,23.3,35.0,68.5
1641731,Bilal Coulibaly,1610612764,SF,59,33.0,35.3,3.1,63.7,7.3,68.3,40.0,88.7,35.2,25.0,3.0,50.3
1629655,Daniel Gafford,1610612742,C,57,21.5,12.7,97.6,63.7,99.0,52.7,94.0,77.3,91.6,80.1,46.0,28.8
203084,Harrison Barnes,1610612759,PF,82,27.2,88.0,83.6,16.3,92.7,5.7,63.7,24.7,29.6,52.7,90.0,18.8
1631095,Jabari Smith Jr.,1610612745,PF,57,30.1,5.3,55.1,26.7,36.3,10.7,58.3,10.3,55.7,45.5,9.7,1.7
1630183,Jaden McDaniels,1610612750,PF,82,31.9,38.3,55.1,52.7,45.3,75.7,25.3,63.0,64.1,37.3,23.0,22.6
