,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
46,Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,.439,19.3,.393,.123,.063,.064,.143,.607,.589,.761,.412,.543,.538,.342,.698,.929,.029,16,.348,.339,0,0,,caldwke01
47,Nikola Vučević,34,CHI,C,73,72,2278,.530,12.5,.691,.214,.319,.118,.040,.309,.587,.689,.565,.508,.452,.402,.758,.992,.012,10,.084,.407,1,0,,vucevni01
48,Payton Pritchard,27,BOS,PG,80,3,2271,.472,21.3,.277,.112,.090,.044,.031,.723,.642,.794,.615,.447,.444,.407,.247,.804,.000,0,.157,.469,8,0,6MOY-1,pritcpa01
49,Kevin Durant,36,PHO,PF,62,62,2265,.527,15.5,.669,.091,.176,.312,.090,.331,.574,.824,.561,.524,.525,.430,.433,.888,.041,44,.223,.506,0,0,AS,duranke01
50,Shaedon Sharpe,21,POR,SG,72,52,2252,.452,15.7,.572,.226,.140,.106,.101,.428,.557,.755,.419,.470,.396,.311,.409,.707,.070,65,.165,.333,4,0,,sharpsh01
51,Stephen Curry,36,GSW,PG,70,70,2252,.448,20.0,.377,.083,.171,.070,.053,.623,.534,.673,.488,.455,.567,.397,.478,.704,.001,1,.101,.494,6,1,MVP-9CPOY-5ASNBA2,curryst01
52,De'Aaron Fox,27,2TM,PG,62,62,2241,.463,14.4,.672,.156,.255,.153,.108,.328,.538,.698,.530,.472,.421,.310,.318,.669,.019,22,.160,.328,2,0,,foxde01
52,De'Aaron Fox,27,SAC,PG,45,45,1663,.469,14.3,.676,.140,.277,.157,.101,.324,.539,.718,.539,.489,.371,.322,.304,.630,.017,15,.164,.298,2,0,,foxde01
52,De'Aaron Fox,27,SAS,PG,17,17,578,.446,14.5,.661,.207,.182,.139,.132,.339,.535,.655,.490,.410,.541,.274,.364,.808,.025,7,.147,.429,0,0,,foxde01
53,Jalen Williams,23,OKC,SG,69,69,2237,.484,13.3,.709,.201,.237,.187,.084,.291,.533,.723,.430,.523,.388,.365,.395,.782,.069,70,.094,.406,0,0,ASNBA3DEF2,willija06
54,Donovan Mitchell,28,CLE,SG,71,71,2232,.443,17.0,.520,.156,.183,.084,.098,.480,.512,.607,.531,.441,.388,.368,.222,.541,.014,16,.096,.475,3,0,MVP-5CPOY-9ASNBA1,mitchdo01
55,Harrison Barnes,32,SAS,PF,82,82,2230,.508,14.8,.473,.250,.184,.038,.000,.527,.591,.690,.468,.538,,.433,.586,.981,.042,29,.547,.477,2,0,,barneha02
56,Julius Randle,30,MIN,PF,69,69,2226,.485,12.4,.666,.252,.262,.121,.030,.334,.555,.751,.423,.465,.429,.344,.447,.843,.052,46,.210,.273,1,0,,randlju01
57,Amen Thompson,22,HOU,SF,69,42,2225,.557,7.8,.869,.420,.298,.096,.055,.131,.599,.758,.471,.493,.263,.275,.523,.960,.212,138,.582,.377,2,0,DPOY-5DEF1,thompam01
58,Jaren Jackson Jr.,25,MEM,C,74,74,2207,.488,13.1,.679,.119,.415,.134,.011,.321,.541,.667,.518,.509,.462,.375,.451,.952,.029,31,.206,.400,5,0,DPOY-7ASDEF2,jacksja02
59,Desmond Bane,26,MEM,SG,69,68,2205,.484,14.7,.589,.188,.246,.093,.063,.411,.548,.712,.492,.400,.500,.392,.426,.634,.005,5,.187,.308,0,0,,banede01
60,Naz Reid,25,MIN,C,80,17,2200,.462,15.4,.499,.200,.255,.044,.000,.501,.544,.681,.468,.366,,.379,.641,.920,.034,25,.227,.390,2,0,6MOY-5,reidna01
61,Tyus Jones,28,PHO,PG,81,58,2174,.448,18.3,.413,.060,.174,.160,.019,.587,.496,.780,.479,.422,.385,.414,.393,.873,.000,0,.344,.500,0,0,,jonesty01
62,Myles Turner,28,IND,C,72,72,2174,.481,16.2,.514,.175,.206,.073,.060,.486,.561,.746,.425,.559,.490,.396,.846,.981,.090,59,.140,.491,0,0,,turnemy01
63,Evan Mobley,23,CLE,PF,71,71,2167,.557,9.4,.746,.421,.270,.038,.018,.254,.621,.787,.429,.353,.188,.370,.640,.894,.220,192,.200,.435,1,0,MVP-10DPOY-1ASNBA2DEF1,mobleev01
64,Taurean Prince,30,MIL,SF,80,73,2166,.457,18.0,.348,.160,.119,.058,.012,.652,.492,.646,.361,.333,.500,.439,.773,.986,.018,8,.507,.453,2,0,,princta02
65,Stephon Castle,20,SAS,PG,81,47,2162,.428,12.6,.663,.311,.217,.084,.052,.337,.501,.655,.369,.373,.333,.285,.460,.789,.078,69,.147,.347,4,0,ROY-1,castlst01
66,Deni Avdija,24,POR,SF,72,54,2161,.476,12.9,.595,.322,.219,.026,.027,.405,.552,.665,.416,.364,.478,.365,.448,.848,.027,20,.181,.323,1,0,,avdijde01
67,Jaylen Brown,28,BOS,SF,63,63,2158,.463,13.4,.680,.197,.265,.145,.073,.320,.529,.750,.456,.407,.439,.324,.386,.724,.045,43,.184,.439,0,0,AS,brownja02
68,Tim Hardaway Jr.,32,DET,SG,77,77,2153,.406,20.2,.328,.082,.100,.072,.074,.672,.484,.679,.485,.469,.280,.368,.815,.923,.016,8,.241,.373,0,0,,hardati02
69,Bennedict Mathurin,22,IND,SF,72,49,2149,.458,13.2,.662,.273,.237,.066,.087,.338,.519,.635,.485,.393,.338,.340,.584,.714,.049,39,.139,.400,3,0,,mathube01
70,Spencer Dinwiddie,31,DAL,PG,79,30,2136,.416,15.9,.522,.136,.252,.106,.028,.478,.492,.645,.419,.458,.526,.334,.211,.550,.012,4,.184,.417,0,0,,dinwisp01
71,Scottie Barnes,23,TOR,PF,65,65,2134,.446,12.6,.737,.219,.260,.176,.082,.263,.508,.687,.428,.476,.356,.271,.452,.737,.066,60,.132,.351,5,0,,barnesc01
72,Max Christie,21,2TM,SG,78,36,2127,.427,16.9,.468,.144,.180,.073,.071,.532,.496,.800,.396,.279,.357,.366,.606,.957,.053,25,.366,.383,2,0,,chrisma02
72,Max Christie,21,LAL,SG,46,25,1154,.444,16.7,.434,.181,.177,.052,.024,.566,.544,.865,.373,.200,.143,.368,.676,.950,.087,21,.423,.420,2,0,,chrisma02
72,Max Christie,21,DAL,SG,32,11,973,.411,17.2,.500,.109,.182,.093,.116,.500,.457,.697,.418,.321,.400,.364,.536,.964,.020,4,.305,.326,0,0,,chrisma02
73,Josh Giddey,22,CHI,PG,70,69,2117,.465,12.3,.652,.277,.276,.076,.023,.348,.512,.584,.500,.377,.222,.378,.414,.895,.013,9,.277,.390,1,1,,giddejo01
74,Fred VanVleet,30,HOU,PG,60,60,2111,.378,20.2,.393,.095,.111,.070,.117,.607,.430,.528,.393,.434,.382,.345,.234,.623,.000,0,.093,.326,8,0,,vanvlfr01
75,Keyonte George,21,UTA,PG,67,35,2109,.391,17.6,.448,.073,.242,.098,.036,.552,.449,.627,.428,.400,.364,.343,.427,.649,.015,11,.136,.493,0,0,,georgke01
76,Dennis Schröder,31,3TM,PG,75,49,2105,.406,16.7,.551,.129,.197,.135,.089,.449,.458,.636,.380,.491,.324,.342,.244,.756,.000,0,.092,.471,4,0,,schrode01
76,Dennis Schröder,31,BRK,PG,23,23,772,.452,15.9,.538,.197,.169,.123,.049,.462,.509,.656,.309,.575,.438,.387,.225,.672,.000,0,.087,.462,1,0,,schrode01
76,Dennis Schröder,31,GSW,SG,24,18,628,.375,18.2,.542,.016,.227,.155,.143,.458,.419,.750,.404,.462,.361,.322,.281,.892,.000,0,.078,.444,1,0,,schrode01
76,Dennis Schröder,31,DET,PG,28,8,705,.378,16.0,.578,.155,.203,.131,.088,.422,.434,.590,.431,.424,.182,.302,.238,.750,.000,0,.113,.500,2,0,,schrode01
77,Damian Lillard,34,MIL,PG,58,58,2093,.448,18.5,.472,.169,.113,.071,.119,.528,.528,.655,.393,.486,.500,.376,.158,.574,.005,5,.078,.390,4,0,AS,lillada01
78,Russell Westbrook,36,DEN,PG,75,36,2092,.449,12.3,.650,.314,.213,.063,.060,.350,.517,.682,.424,.212,.300,.323,.423,.862,.032,23,.337,.439,1,0,6MOY-7,westbru01
79,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,.470,11.3,.673,.328,.266,.067,.012,.327,.555,.704,.452,.260,.444,.293,.534,.972,.097,63,.318,.351,0,0,,oubreke01
80,Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,.438,17.5,.399,.166,.140,.063,.031,.601,.524,.667,.430,.359,.526,.381,.612,.986,.019,8,.335,.468,4,0,6MOY-6,alexani01
81,Luguentz Dort,25,OKC,SF,71,71,2073,.435,19.5,.304,.123,.094,.059,.027,.696,.489,.589,.375,.429,.563,.412,.670,.959,.032,14,.259,.421,0,0,DPOY-4DEF1,dortlu01
82,Onyeka Okongwu,24,ATL,C,74,40,2064,.567,7.9,.784,.480,.263,.038,.003,.216,.634,.738,.472,.500,.000,.324,.768,1.000,.145,91,.534,.354,1,0,,okongon01
83,Malik Monk,26,SAC,SG,65,45,2054,.439,16.0,.544,.145,.242,.106,.051,.456,.534,.632,.524,.470,.438,.325,.443,.820,.036,29,.121,.442,2,0,,monkma01
84,Jaylen Wells,21,MEM,SG,79,74,2043,.425,17.4,.420,.142,.163,.059,.056,.580,.525,.729,.382,.625,.316,.352,.658,.906,.036,20,.380,.369,0,0,ROY-3,wellsja01
85,Jalen Duren,21,DET,C,78,78,2034,.692,2.5,1.000,.663,.332,.004,.002,.000,.692,.760,.558,.500,1.000,,.624,,.441,219,,,0,0,,durenja01
86,Jalen Wilson,24,BRK,PF,79,22,2031,.397,16.9,.416,.165,.216,.023,.013,.584,.481,.608,.410,.286,.375,.337,.597,1.000,.002,0,.290,.352,1,0,,wilsoja03
87,Miles Bridges,26,CHO,PF,64,64,2029,.431,13.8,.587,.242,.274,.051,.020,.413,.513,.712,.393,.309,.273,.313,.482,.908,.058,55,.236,.396,6,0,,bridgmi02
88,Davion Mitchell,26,2TM,PG,74,37,2027,.468,14.2,.557,.271,.204,.050,.032,.443,.525,.651,.433,.375,.267,.398,.281,.821,.000,0,.190,.425,4,0,,mitchda01
88,Davion Mitchell,26,TOR,PG,44,22,1080,.434,15.2,.520,.254,.184,.049,.033,.480,.504,.597,.511,.083,.375,.359,.359,.786,.000,0,.171,.350,3,0,,mitchda01
88,Davion Mitchell,26,MIA,PG,30,15,947,.504,13.2,.595,.289,.224,.052,.030,.405,.543,.701,.365,.667,.143,.447,.213,.857,.000,0,.213,.500,1,0,,mitchda01
89,Franz Wagner,23,ORL,SF,60,60,2023,.463,12.5,.697,.214,.349,.091,.043,.303,.535,.726,.452,.491,.360,.295,.446,.692,.036,39,.111,.436,3,0,,wagnefr01
90,Quentin Grimes,24,2TM,SG,75,37,2013,.467,16.2,.488,.232,.113,.077,.067,.512,.552,.728,.409,.397,.364,.385,.441,.790,.033,26,.233,.490,0,0,,grimequ01
90,Quentin Grimes,24,DAL,SG,47,12,1070,.463,16.8,.449,.192,.129,.068,.060,.551,.543,.729,.426,.360,.409,.398,.562,.888,.027,10,.274,.455,0,0,,grimequ01
