,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
215,Jonathan Mogbo,23,TOR,PF,63,18,1286,.438,8.6,.803,.461,.233,.073,.037,.197,.486,.634,.277,.346,.231,.243,.712,1.000,.216,66,.443,.323,2,0,,mogbojo01
216,Jalen Johnson,23,ATL,SF,36,36,1284,.500,10.2,.740,.352,.279,.090,.018,.260,.566,.749,.437,.245,.600,.312,.626,.955,.127,63,.298,.333,2,0,,johnsja05
217,Max Strus,28,CLE,SF,50,37,1273,.442,20.6,.214,.134,.078,.000,.003,.786,.650,.780,.448,,.000,.386,.731,.965,.035,10,.304,.382,1,0,,strusma01
218,Johnny Juzang,23,UTA,SG,64,18,1270,.429,19.2,.339,.072,.160,.069,.038,.661,.534,.676,.513,.424,.556,.376,.605,.890,.006,3,.395,.419,0,0,,juzanjo01
219,Ron Holland,19,DET,SF,81,2,1266,.474,12.1,.637,.296,.288,.038,.014,.363,.608,.691,.550,.500,.333,.238,.596,1.000,.091,34,.483,.205,3,0,,hollaro01
220,Javonte Green,31,2TM,SG,68,19,1258,.429,14.1,.509,.317,.160,.024,.007,.491,.527,.692,.283,.143,.000,.326,.636,1.000,.077,18,.475,.328,0,0,,greenja02
220,Javonte Green,31,NOP,SG,50,18,1092,.446,13.7,.518,.321,.161,.027,.009,.482,.534,.722,.250,.167,.000,.352,.613,1.000,.080,16,.500,.352,0,0,,greenja02
220,Javonte Green,31,CLE,SG,18,1,166,.365,14.5,.476,.302,.159,.016,.000,.524,.500,.579,.400,.000,,.242,.733,1.000,.063,2,.394,.231,0,0,,greenja02
221,Nick Richards,27,2TM,C,57,43,1256,.591,4.0,.994,.496,.398,.092,.009,.006,.594,.750,.428,.469,.667,.000,.683,,.288,83,1.000,.000,0,0,,richani01
221,Nick Richards,27,CHO,C,21,9,440,.561,3.4,.991,.640,.307,.044,.000,.009,.566,.685,.371,.200,,.000,.641,,.263,28,1.000,.000,0,0,,richani01
221,Nick Richards,27,PHO,C,36,34,816,.605,4.6,.996,.425,.442,.116,.013,.004,.608,.798,.447,.519,.667,.000,.702,,.300,55,1.000,.000,0,0,,richani01
222,Dean Wade,28,CLE,PF,59,30,1252,.413,21.0,.181,.118,.041,.007,.015,.819,.653,.781,.455,.500,.250,.360,.688,1.000,.033,8,.392,.414,0,0,,wadede01
223,Ricky Council IV,23,PHI,SF,73,12,1250,.382,15.2,.540,.240,.197,.089,.015,.460,.488,.631,.352,.439,.286,.258,.516,.927,.071,31,.183,.410,4,0,,councri01
224,Tidjane Salaün,19,CHO,PF,60,10,1244,.330,17.6,.406,.191,.157,.038,.020,.594,.400,.606,.222,.077,.429,.283,.643,.879,.038,11,.210,.326,0,0,,salauti01
225,Bobby Portis,29,MIL,PF,49,7,1244,.466,14.1,.701,.200,.193,.163,.145,.299,.508,.655,.487,.423,.430,.365,.519,.969,.015,7,.258,.435,0,0,,portibo01
226,Moussa Diabaté,23,CHO,C,71,8,1241,.596,3.6,.979,.650,.271,.054,.004,.021,.609,.698,.447,.400,.000,.000,.743,,.329,78,.333,.000,0,0,,diabamo01
227,Jeremiah Robinson-Earl,24,NOP,PF,66,9,1239,.455,14.0,.527,.294,.135,.066,.032,.473,.557,.686,.362,.391,.545,.341,.696,.964,.026,8,.543,.427,0,0,,robinje02
228,Simone Fontecchio,29,DET,SF,75,0,1237,.402,17.7,.391,.164,.150,.032,.046,.609,.507,.623,.429,.500,.353,.335,.649,1.000,.035,11,.361,.280,2,0,,fontesi01
229,Cole Anthony,24,ORL,PG,67,22,1234,.424,15.6,.599,.129,.250,.175,.044,.401,.471,.714,.449,.337,.417,.353,.261,.766,.007,2,.151,.455,2,0,,anthoco01
230,Ben Sheppard,23,IND,SG,63,9,1228,.418,18.3,.307,.164,.105,.024,.014,.693,.591,.702,.433,.571,.500,.342,.731,.985,.007,2,.578,.339,0,0,,sheppbe01
231,Daniel Gafford,26,DAL,C,57,31,1226,.702,2.6,1.000,.690,.298,.012,.000,.000,.702,.748,.600,.600,,,.721,,.325,113,,,0,0,,gaffoda01
232,John Collins,27,UTA,PF,40,31,1220,.527,11.0,.721,.234,.371,.066,.051,.279,.577,.702,.548,.343,.519,.399,.647,.966,.130,66,.385,.439,0,0,,collijo01
233,Caleb Martin,29,2TM,SF,45,24,1218,.424,13.2,.661,.243,.181,.082,.155,.339,.458,.608,.327,.560,.319,.359,.435,.973,.030,7,.417,.488,2,0,,martica02
233,Caleb Martin,29,PHI,SF,31,24,943,.435,15.2,.625,.220,.164,.082,.159,.375,.469,.608,.421,.526,.297,.379,.471,1.000,.034,6,.368,.563,2,0,,martica02
233,Caleb Martin,29,DAL,SF,14,0,275,.389,11.1,.778,.319,.236,.083,.139,.222,.429,.609,.118,.667,.400,.250,.333,.750,.014,1,.688,.273,0,0,,martica02
234,Kristaps Porziņģis,29,BOS,C,42,42,1210,.483,16.0,.564,.174,.230,.110,.051,.436,.537,.760,.492,.365,.345,.412,.770,.981,.106,54,.068,.353,0,0,,porzikr01
235,Brandon Clarke,28,MEM,PF,64,18,1207,.621,5.7,.955,.429,.395,.132,.000,.045,.647,.816,.553,.380,,.059,.762,1.000,.079,29,.765,.077,0,0,,clarkbr01
236,Deandre Ayton,26,POR,C,40,40,1206,.566,8.4,.932,.344,.269,.205,.113,.068,.594,.820,.468,.490,.396,.188,.741,1.000,.165,71,.469,.067,0,0,,aytonde01
237,Jarace Walker,21,IND,PF,75,5,1187,.472,16.4,.486,.183,.192,.067,.044,.514,.543,.606,.478,.708,.313,.405,.705,.893,.081,25,.227,.405,1,0,,walkeja02
238,Kawhi Leonard,33,LAC,SF,37,37,1180,.498,14.4,.695,.132,.199,.266,.098,.305,.536,.768,.540,.476,.377,.411,.431,.679,.056,32,.137,.385,0,0,,leonaka01
239,Clint Capela,30,ATL,C,55,41,1176,.559,3.0,.997,.638,.323,.033,.003,.003,.560,.643,.429,.308,.000,.000,.775,,.262,87,.000,,0,0,,capelca01
240,Cody Martin,29,2TM,SF,53,8,1173,.418,15.3,.535,.228,.135,.108,.065,.465,.534,.743,.432,.343,.333,.285,.591,.953,.052,14,.517,.282,0,0,,martico01
240,Cody Martin,29,CHO,SF,39,8,967,.433,15.3,.537,.246,.112,.108,.071,.463,.528,.727,.400,.345,.316,.323,.553,.950,.049,11,.468,.328,0,0,,martico01
240,Cody Martin,29,PHO,SF,14,0,206,.351,15.4,.526,.140,.246,.105,.035,.474,.567,.875,.500,.333,.500,.111,.765,1.000,.070,3,.741,.150,0,0,,martico01
241,Mark Williams,23,CHO,C,44,41,1171,.604,3.8,.991,.555,.376,.056,.004,.009,.609,.754,.423,.440,.500,.000,.807,,.264,109,.250,.000,0,0,,willima07
242,Precious Achiuwa,25,NYK,C,57,10,1170,.502,6.2,.890,.523,.266,.098,.003,.110,.529,.661,.310,.438,.000,.278,.695,1.000,.171,52,.750,.259,0,0,,achiupr01
243,Nikola Jović,21,MIA,PF,46,10,1156,.456,16.1,.443,.183,.210,.034,.016,.557,.563,.739,.468,.231,.500,.371,.649,.949,.016,5,.348,.479,0,0,,jovicni01
244,Justin Edwards,21,PHI,SF,44,26,1155,.455,16.0,.497,.212,.138,.106,.042,.503,.548,.663,.423,.525,.438,.363,.544,.928,.024,9,.253,.375,0,0,,edwarju01
245,Vít Krejčí,24,ATL,PG,57,16,1153,.497,19.4,.295,.130,.116,.034,.014,.705,.640,.763,.559,.500,.500,.437,.655,.922,.041,11,.223,.543,0,0,,krejcvi01
246,Jonathan Kuminga,22,GSW,PF,47,10,1144,.454,11.3,.734,.220,.371,.113,.030,.266,.508,.736,.455,.328,.176,.305,.519,.891,.095,48,.305,.283,2,0,,kuminjo01
247,Kevon Looney,28,GSW,C,76,6,1142,.514,4.6,.982,.525,.342,.054,.061,.018,.516,.671,.379,.267,.176,.400,.567,1.000,.090,24,.400,1.000,1,0,,looneke01
248,Kenrich Williams,30,OKC,PF,69,7,1132,.483,15.3,.517,.234,.175,.056,.051,.483,.574,.735,.500,.300,.389,.386,.600,1.000,.017,6,.263,.422,0,0,,willike04
249,Julian Phillips,21,CHI,SF,79,5,1123,.446,14.2,.467,.321,.136,.007,.003,.533,.582,.652,.436,.500,.000,.327,.679,1.000,.153,36,.660,.406,0,0,,phillju01
250,Aaron Nesmith,25,IND,SF,45,37,1123,.507,15.7,.485,.203,.172,.084,.026,.515,.587,.714,.538,.469,.300,.431,.769,.964,.042,11,.369,.472,0,0,,nesmiaa01
251,Dalano Banton,25,POR,PG,67,7,1120,.391,14.4,.562,.249,.227,.059,.028,.438,.442,.635,.278,.333,.286,.324,.373,.875,.024,11,.198,.409,2,0,,bantoda01
252,Ben Simmons,28,2TM,PG,51,24,1120,.520,4.9,1.000,.422,.507,.067,.004,.000,.520,.606,.478,.333,.000,,.517,,.103,18,,,0,0,,simmobe01
252,Ben Simmons,28,BRK,PG,33,24,825,.547,4.7,1.000,.435,.512,.047,.006,.000,.547,.649,.494,.250,.000,,.473,,.106,14,,,0,0,,simmobe01
252,Ben Simmons,28,LAC,PG,18,0,295,.434,5.1,1.000,.377,.491,.132,.000,.000,.434,.450,.423,.429,,,.696,,.094,4,,,0,0,,simmobe01
253,Ja'Kobe Walter,20,TOR,SG,52,18,1103,.405,15.0,.527,.232,.196,.064,.036,.473,.454,.527,.390,.480,.286,.349,.628,.954,.041,11,.290,.352,2,0,,walteja01
254,Jaxson Hayes,24,LAL,C,56,35,1093,.722,2.9,.987,.664,.309,.013,.000,.013,.732,.838,.522,.333,,.000,.857,,.578,120,.333,.000,0,0,,hayesja02
255,Cameron Payne,30,NYK,PG,72,5,1090,.401,17.8,.426,.128,.209,.065,.025,.574,.453,.526,.441,.379,.364,.363,.302,.645,.000,0,.094,.375,0,0,,payneca01
256,Jonathan Isaac,27,ORL,PF,71,1,1090,.414,14.1,.534,.324,.068,.096,.046,.466,.549,.676,.500,.323,.200,.258,.547,1.000,.160,44,.636,.302,0,0,,isaacjo01
257,DaQuan Jeffries,27,CHO,SG,47,20,1071,.405,16.3,.436,.175,.206,.024,.031,.564,.496,.627,.400,.286,.556,.335,.730,.964,.100,15,.457,.373,1,0,,jeffrda01
258,Jusuf Nurkić,30,2TM,C,51,32,1063,.477,10.9,.702,.293,.375,.028,.006,.298,.551,.689,.470,.300,.000,.305,.676,.969,.065,20,.105,.455,1,0,,nurkiju01
258,Jusuf Nurkić,30,PHO,C,25,23,592,.454,12.0,.638,.301,.301,.037,.000,.362,.529,.673,.408,.333,,.322,.673,.947,.098,13,.153,.556,0,0,,nurkiju01
258,Jusuf Nurkić,30,CHO,C,26,9,471,.497,9.8,.757,.286,.439,.021,.011,.243,.566,.704,.506,.250,.000,.283,.679,1.000,.037,7,.043,.000,1,0,,nurkiju01
259,Seth Curry,34,CHO,SG,68,14,1062,.478,18.8,.469,.067,.117,.122,.163,.531,.503,.826,.350,.429,.536,.456,.593,.843,.000,0,.297,.537,0,0,,curryse01
260,Cody Williams,20,UTA,SG,50,21,1060,.323,16.3,.475,.105,.265,.070,.035,.525,.393,.593,.397,.222,.111,.259,.563,1.000,.035,5,.570,.260,0,0,,willico04
261,Isaac Okoro,24,CLE,SG,55,22,1053,.464,14.8,.434,.341,.086,.004,.004,.566,.586,.659,.348,.000,.000,.371,.765,1.000,.052,11,.596,.389,0,0,,okorois01
262,Oso Ighodaro,22,PHO,PF,61,6,1045,.604,6.4,.989,.353,.358,.278,.000,.011,.611,.833,.493,.481,,.000,.858,,.310,50,.000,,1,0,,ighodos01
263,Jared Butler,24,2TM,SG,60,17,1044,.448,13.4,.627,.196,.287,.119,.026,.373,.504,.663,.438,.407,.417,.355,.259,.783,.000,0,.213,.472,0,0,,butleja02
263,Jared Butler,24,WAS,PG,32,0,362,.483,11.2,.767,.233,.398,.108,.034,.233,.519,.707,.443,.421,.333,.366,.229,.733,.000,0,.122,.400,0,0,,butleja02
263,Jared Butler,24,PHI,SG,28,17,682,.426,15.7,.538,.173,.217,.126,.022,.462,.490,.625,.433,.400,.500,.352,.288,.800,.000,0,.242,.484,0,0,,butleja02
264,Jamison Battle,23,TOR,SF,59,10,1042,.429,20.4,.254,.098,.075,.058,.023,.746,.500,.588,.385,.500,.500,.405,.818,.971,.020,4,.394,.412,0,0,,battlja01
265,Noah Clowney,20,BRK,PF,46,20,1042,.358,19.2,.298,.142,.118,.035,.003,.702,.414,.642,.205,.231,.000,.333,.696,.954,.065,17,.249,.338,1,0,,clownno01
266,Alex Caruso,30,OKC,SG,54,3,1041,.446,15.2,.459,.287,.124,.025,.022,.541,.556,.656,.410,.500,.143,.353,.688,.933,.029,9,.365,.419,0,0,6MOY-8,carusal01
267,Kris Murray,24,POR,SF,69,6,1040,.419,12.2,.570,.358,.208,.000,.004,.430,.566,.650,.414,,1.000,.225,.589,.963,.129,34,.475,.263,0,0,,murrakr01
268,Dejounte Murray,28,NOP,PG,31,31,1012,.393,14.8,.648,.176,.174,.206,.091,.352,.444,.598,.349,.461,.289,.299,.261,.635,.012,6,.155,.296,0,0,,murrade01
269,Jalen Suggs,23,ORL,PG,35,35,1002,.410,17.7,.497,.141,.164,.129,.062,.503,.506,.765,.430,.387,.367,.314,.223,.763,.008,4,.145,.429,4,0,,suggsja01
270,Kyle Anderson,31,2TM,PF,61,4,1002,.469,10.9,.769,.185,.429,.102,.053,.231,.502,.714,.469,.355,.313,.357,.496,.960,.036,10,.443,.452,4,0,,anderky01
270,Kyle Anderson,31,GSW,PF,36,3,541,.450,13.2,.692,.095,.450,.089,.059,.308,.487,.750,.500,.267,.300,.365,.544,.947,.059,9,.423,.409,3,0,,anderky01
270,Kyle Anderson,31,MIA,SF,25,1,461,.493,8.6,.866,.299,.403,.119,.045,.134,.517,.700,.426,.438,.333,.333,.450,1.000,.007,1,.500,.556,1,0,,anderky01
271,Brandon Boston,23,NOP,SG,42,10,993,.436,14.9,.633,.234,.110,.171,.118,.367,.485,.674,.262,.369,.489,.350,.504,.857,.066,21,.229,.313,0,0,,bostobr01
272,Dalen Terry,22,CHI,SG,73,5,987,.448,11.7,.612,.366,.224,.011,.011,.388,.506,.602,.383,.000,.333,.356,.602,1.000,.049,13,.423,.386,0,0,,terryda01
273,Andre Jackson Jr.,23,MIL,SG,67,43,980,.477,12.2,.614,.371,.152,.076,.015,.386,.529,.658,.300,.400,.333,.395,.656,.967,.147,23,.566,.372,0,0,,jacksan01
274,Zach Collins,27,2TM,PF,64,12,977,.507,11.6,.649,.358,.235,.046,.010,.351,.617,.722,.521,.357,.333,.302,.818,1.000,.073,19,.236,.280,1,0,,colliza01
274,Zach Collins,27,SAS,C,36,4,425,.462,11.6,.652,.364,.242,.030,.015,.348,.547,.667,.406,.250,.500,.304,.830,1.000,.068,7,.261,.333,1,0,,colliza01
274,Zach Collins,27,CHI,PF,28,8,552,.541,11.5,.647,.353,.229,.059,.006,.353,.673,.767,.615,.400,.000,.300,.811,1.000,.076,12,.217,.231,0,0,,colliza01
275,Trayce Jackson-Davis,24,GSW,C,62,37,967,.576,3.4,.990,.490,.490,.003,.007,.010,.582,.703,.473,.000,.000,.000,.799,,.387,101,.667,.000,0,0,,jackstr02
276,Thomas Bryant,27,2TM,C,66,8,963,.508,14.9,.539,.336,.140,.053,.009,.461,.665,.648,.667,.706,1.000,.324,.670,.979,.109,29,.358,.415,0,0,,bryanth01
276,Thomas Bryant,27,MIA,C,10,0,115,.429,16.6,.393,.321,.036,.036,.000,.607,.545,.556,1.000,.000,,.353,.667,1.000,.000,0,.176,.333,0,0,,bryanth01
276,Thomas Bryant,27,IND,C,56,8,848,.515,13.3,.553,.338,.150,.055,.010,.447,.673,.657,.659,.750,1.000,.321,.670,.976,.119,29,.382,.420,0,0,,bryanth01
277,Jalen Smith,24,CHI,C,64,2,962,.466,15.4,.456,.319,.098,.025,.015,.544,.634,.677,.625,.300,.333,.324,.703,.986,.071,27,.162,.333,1,1,,smithja04
278,Jordan Clarkson,32,UTA,SG,37,9,962,.408,16.6,.529,.073,.302,.120,.034,.471,.448,.667,.389,.492,.353,.362,.282,.690,.006,3,.103,.500,3,0,,clarkjo01
279,Gary Payton II,32,GSW,SG,62,11,927,.574,10.1,.681,.326,.346,.010,.000,.319,.690,.845,.553,.333,,.326,.821,.968,.128,32,.537,.412,0,0,,paytoga02
280,Brandon Miller,22,CHO,SF,27,27,924,.403,19.0,.403,.112,.159,.096,.037,.597,.475,.727,.410,.362,.278,.355,.511,.808,.037,17,.082,.333,4,0,,millebr02
281,Bruce Brown,28,2TM,PG,41,12,922,.421,11.1,.738,.265,.278,.172,.023,.262,.452,.646,.337,.358,.286,.333,.650,.963,.023,6,.506,.390,1,0,,brownbr01
281,Bruce Brown,28,TOR,PG,18,0,353,.435,11.2,.725,.275,.267,.153,.031,.275,.484,.639,.371,.400,.500,.306,.674,1.000,.015,2,.556,.450,1,0,,brownbr01
281,Bruce Brown,28,NOP,PG,23,12,569,.410,11.1,.747,.258,.287,.185,.017,.253,.429,.652,.314,.333,.000,.356,.632,.938,.028,4,.467,.333,0,0,,brownbr01
282,Immanuel Quickley,25,TOR,PG,33,33,918,.420,17.3,.486,.103,.235,.112,.037,.514,.465,.578,.437,.429,.438,.378,.384,.741,.002,1,.107,.375,1,0,,quickim01
283,Trendon Watford,24,BRK,PF,44,6,913,.469,10.2,.749,.300,.369,.077,.003,.251,.515,.667,.465,.185,.000,.330,.363,.966,.020,6,.273,.292,1,0,,watfotr01
284,KJ Martin,24,2TM,PF,43,16,912,.552,9.0,.711,.388,.318,.000,.005,.289,.671,.705,.625,,1.000,.259,.844,1.000,.254,47,.724,.333,0,0,,martike04
284,KJ Martin,24,PHI,PF,24,7,480,.616,7.1,.788,.545,.232,.000,.010,.212,.679,.741,.522,,1.000,.381,.774,1.000,.242,22,.667,.500,0,0,,martike04
284,KJ Martin,24,UTA,SF,19,9,432,.490,10.9,.637,.235,.402,.000,.000,.363,.662,.625,.683,,,.189,.930,1.000,.265,25,.757,.250,0,0,,martike04
285,Jaden Hardy,22,DAL,SG,57,3,907,.435,16.2,.524,.162,.157,.157,.048,.476,.479,.657,.354,.508,.200,.386,.346,.829,.027,8,.239,.404,1,0,,hardyja02
286,Day'Ron Sharpe,23,BRK,C,50,2,907,.521,6.6,.858,.505,.290,.035,.028,.142,.566,.644,.446,.364,.667,.244,.597,1.000,.114,29,.289,.385,0,0,,sharpda01
287,Adem Bona,21,PHI,C,58,11,905,.703,2.3,.995,.755,.229,.010,.000,.005,.707,.731,.659,.000,,.000,.696,,.401,64,1.000,.000,0,0,,bonaad01
288,Tre Jones,25,2TM,PG,46,9,905,.538,8.9,.798,.345,.361,.076,.017,.202,.574,.671,.558,.222,.500,.396,.514,1.000,.004,1,.500,.458,0,0,,jonestr01
288,Tre Jones,25,SAS,PG,28,0,450,.484,9.8,.720,.387,.290,.043,.000,.280,.552,.667,.481,.000,,.308,.486,1.000,.011,1,.462,.333,0,0,,jonestr01
288,Tre Jones,25,CHI,PG,18,9,455,.572,8.1,.848,.317,.407,.097,.028,.152,.585,.674,.593,.286,.500,.500,.528,1.000,.000,0,.545,.583,0,0,,jonestr01
289,Jaden Ivey,22,DET,SG,30,30,898,.460,13.7,.627,.245,.245,.094,.044,.373,.490,.644,.426,.333,.333,.409,.425,.746,.024,9,.208,.344,3,0,,iveyja01
290,Kelly Olynyk,33,2TM,C,44,22,891,.500,11.6,.705,.336,.231,.078,.060,.295,.534,.667,.435,.381,.375,.418,.564,.818,.015,4,.127,.600,0,0,,olynyke01
290,Kelly Olynyk,33,TOR,C,24,2,383,.500,12.8,.636,.347,.161,.068,.059,.364,.533,.683,.211,.750,.286,.442,.625,.842,.025,3,.070,.667,0,0,,olynyke01
290,Kelly Olynyk,33,NOP,C,20,20,508,.500,10.4,.760,.327,.287,.087,.060,.240,.535,.653,.535,.154,.444,.389,.525,.786,.007,1,.194,.571,0,0,,olynyke01
291,Chet Holmgren,22,OKC,C,32,32,877,.490,12.4,.660,.290,.226,.117,.026,.340,.547,.747,.442,.250,.556,.379,.642,1.000,.117,39,.164,.421,1,0,,holmgch01
292,Neemias Queta,25,BOS,C,62,6,863,.650,3.6,.985,.591,.355,.039,.000,.015,.660,.708,.583,.625,,.000,.795,,.315,59,.333,.000,1,0,,quetane01
293,Alec Burks,33,MIA,SG,49,14,863,.424,20.8,.236,.059,.100,.041,.037,.764,.422,.500,.296,.545,.500,.425,.556,.955,.000,0,.488,.406,1,0,,burksal01
294,Chris Boucher,32,TOR,PF,50,0,862,.492,14.9,.478,.292,.114,.054,.019,.522,.633,.750,.429,.500,.429,.363,.643,.986,.111,32,.420,.395,0,0,,bouchch01
295,Zion Williamson,24,NOP,PF,30,30,857,.567,4.8,.974,.429,.494,.047,.004,.026,.576,.679,.510,.375,.000,.231,.460,.667,.085,39,.077,.000,1,0,,willizi01
296,Khris Middleton,33,2TM,SF,37,21,843,.475,17.1,.605,.074,.193,.196,.142,.395,.549,.600,.600,.470,.563,.361,.402,.750,.003,1,.165,.318,1,0,,middlkh01
296,Khris Middleton,33,MIL,SF,23,7,534,.512,17.3,.592,.090,.166,.185,.152,.408,.584,.579,.629,.538,.594,.407,.384,.657,.005,1,.163,.357,0,0,,middlkh01
296,Khris Middleton,33,WAS,SF,14,14,309,.413,16.9,.627,.048,.238,.214,.127,.373,.494,.667,.567,.370,.500,.277,.436,1.000,.000,0,.170,.250,1,0,,middlkh01
297,KJ Simpson,22,CHO,PG,36,15,842,.346,15.0,.568,.179,.246,.103,.040,.432,.415,.648,.365,.226,.167,.254,.324,.667,.010,3,.146,.263,0,0,,simpskj01
298,Shake Milton,28,2TM,SG,57,2,837,.453,14.3,.583,.181,.240,.146,.016,.417,.520,.630,.492,.432,.500,.358,.364,1.000,.000,0,.321,.294,1,0,,miltosh01
298,Shake Milton,28,BRK,SG,27,1,492,.465,15.3,.541,.159,.236,.134,.013,.459,.529,.560,.514,.476,1.000,.389,.333,1.000,.000,0,.264,.211,1,0,,miltosh01
298,Shake Milton,28,LAL,SG,30,1,345,.433,13.3,.649,.216,.247,.165,.021,.351,.508,.714,.458,.375,.000,.294,.406,1.000,.000,0,.441,.400,0,0,,miltosh01
299,Dereck Lively II,20,DAL,C,36,29,833,.702,3.1,1.000,.571,.403,.026,.000,.000,.702,.798,.597,.200,,,.791,,.393,66,,,0,0,,livelde01
300,Garrison Mathews,28,ATL,SG,47,2,830,.397,22.4,.152,.047,.058,.031,.016,.848,.436,.500,.400,.500,.250,.390,.824,.976,.004,1,.317,.580,0,0,,mathega01
301,Cam Whitmore,20,HOU,SF,51,3,827,.444,14.9,.546,.253,.203,.037,.052,.454,.518,.686,.341,.467,.429,.355,.482,.785,.112,35,.213,.436,1,0,,whitmca01
302,Ryan Rollins,22,MIL,PG,56,19,820,.487,14.6,.557,.225,.185,.111,.037,.443,.550,.754,.420,.400,.400,.408,.349,.918,.022,5,.417,.480,0,0,,rolliry01
303,Marcus Sasser,24,DET,PG,57,1,811,.463,17.5,.486,.128,.155,.118,.084,.514,.549,.789,.435,.514,.440,.382,.418,.586,.000,0,.151,.391,0,0,,sassema01
304,Steven Adams,31,HOU,C,58,3,794,.545,4.1,.988,.611,.311,.066,.000,.012,.552,.608,.500,.273,,.000,.451,,.138,21,.000,,2,0,,adamsst01
305,Aaron Holiday,28,HOU,PG,62,3,792,.437,20.8,.325,.060,.131,.075,.060,.675,.517,.750,.486,.400,.500,.398,.378,.819,.000,0,.177,.469,1,0,,holidaa01
306,Karlo Matković,23,NOP,PF,42,7,791,.574,9.5,.719,.396,.272,.047,.004,.281,.675,.785,.563,.455,.000,.318,.728,1.000,.204,40,.515,.382,0,0,,matkoka01
307,Caleb Houstan,22,ORL,SF,58,6,788,.421,22.4,.158,.042,.063,.032,.021,.842,.533,.625,.500,.500,.500,.400,.938,.984,.005,0,.331,.302,0,0,,houstca01
308,Vasilije Micić,31,2TM,PG,41,16,785,.348,17.0,.542,.154,.161,.095,.132,.458,.338,.571,.205,.192,.333,.360,.340,.533,.000,0,.032,.250,0,0,,micicva01
308,Vasilije Micić,31,CHO,PG,36,16,764,.348,17.0,.542,.154,.161,.095,.132,.458,.338,.571,.205,.192,.333,.360,.340,.533,.000,0,.032,.250,0,0,,micicva01
308,Vasilije Micić,31,PHO,PG,5,0,21,,,,,,,,,,,,,,,,,,0,,,0,0,,micicva01
309,Jaylin Williams,22,OKC,PF,47,9,784,.439,19.7,.308,.149,.086,.059,.014,.692,.529,.606,.526,.385,.333,.399,.639,.967,.059,9,.144,.636,1,0,,willija07
310,Pelle Larsson,23,MIA,SG,55,8,782,.438,13.3,.532,.345,.158,.030,.000,.468,.528,.614,.438,.000,,.337,.789,.969,.034,7,.337,.406,0,0,,larsspe01
311,Cam Thomas,23,BRK,SG,25,23,781,.438,16.3,.570,.141,.183,.154,.093,.430,.506,.625,.434,.471,.524,.349,.473,.544,.000,0,.123,.250,1,0,,thomaca02
312,Lindy Waters III,27,2TM,SG,52,9,778,.369,22.0,.253,.064,.092,.052,.044,.747,.444,.438,.565,.231,.455,.344,.714,.938,.020,4,.312,.328,0,0,,waterli01
312,Lindy Waters III,27,GSW,SG,38,9,655,.371,20.7,.278,.063,.112,.059,.044,.722,.474,.538,.565,.167,.556,.331,.704,.939,.020,4,.318,.277,0,0,,waterli01
312,Lindy Waters III,27,DET,SG,14,0,123,.364,23.2,.136,.068,.000,.023,.045,.864,.167,.000,,1.000,.000,.395,1.000,.933,.023,0,.289,.545,0,0,,waterli01
313,Lonzo Ball,27,CHI,PG,35,14,777,.366,23.0,.198,.070,.058,.037,.033,.802,.458,.529,.500,.333,.375,.344,.545,.881,.021,4,.221,.372,4,0,,balllo01
314,Orlando Robinson,24,2TM,C,44,8,770,.444,10.0,.801,.345,.333,.111,.011,.199,.474,.622,.345,.379,.667,.327,.657,1.000,.077,14,.135,.286,0,0,,robinor01
314,Orlando Robinson,24,SAC,C,9,0,57,.412,11.0,.706,.353,.294,.059,.000,.294,.500,.667,.400,.000,,.200,.833,1.000,.059,0,.200,.000,0,0,,robinor01
314,Orlando Robinson,24,TOR,C,35,8,713,.447,9.0,.807,.344,.336,.115,.012,.193,.472,.619,.341,.393,.667,.340,.645,1.000,.078,14,.128,.333,0,0,,robinor01
315,Eric Gordon,36,PHI,SG,39,13,768,.426,19.9,.328,.152,.142,.025,.010,.672,.463,.613,.276,.800,.000,.409,.710,.946,.005,0,.124,.529,2,0,,gordoer01
316,Gui Santos,22,GSW,PF,56,2,762,.458,16.3,.425,.190,.218,.011,.006,.575,.632,.794,.487,.500,1.000,.330,.792,.971,.039,6,.340,.371,1,0,,santogu01
317,Landry Shamet,27,NYK,SG,50,0,762,.461,19.3,.322,.135,.070,.087,.030,.678,.595,.710,.438,.650,.286,.397,.818,.919,.013,3,.397,.468,1,0,,shamela01
318,Svi Mykhailiuk,27,UTA,SF,38,13,760,.391,19.7,.328,.089,.156,.066,.017,.672,.485,.630,.404,.500,.400,.345,.375,.786,.013,4,.236,.375,2,0,,mykhasv01
319,Andre Drummond,31,PHI,C,40,23,751,.500,5.4,.915,.573,.299,.038,.004,.085,.533,.582,.471,.333,.000,.150,.640,.667,.171,36,.400,.250,2,0,,drumman01
