PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio,late_clock_efficiency,clutch_ast_tov,efg_pct,deflections_per_36,screen_assists_per_36,shooting_foul_pct,personal_foul_rate,age,ast_pct
1629130,Duncan Robinson,1610612748,SF,74,24.100,2.000,0.339,1.500,0.578,1.390,0.720,23.206,2.700,30,14.700
1627824,Guerschon Yabusele,1610612755,C,70,27.100,1.750,0.436,2.000,0.594,1.930,2.370,24.845,3.100,29,11.600
203915,Spencer Dinwiddie,1610612742,PG,79,27.000,3.385,0.342,1.500,0.500,1.170,0.380,19.211,2.000,31,22.100
203501,Tim Hardaway Jr.,1610612765,SG,77,28.000,2.667,0.349,2.000,0.534,0.820,0.890,14.245,1.600,32,7.600
1641729,Brice Sensabaugh,1610612762,SF,71,20.200,1.000,0.371,1.500,0.595,1.180,0.180,16.709,2.800,21,12.000
203992,Bogdan Bogdanović,1610612746,SG,54,25.000,1.929,0.408,0.000,0.533,1.890,0.480,50.842,3.400,32,15.200
1641722,Jordan Hawkins,1610612740,SG,56,23.600,1.200,0.330,1.000,0.475,1.020,0.220,10.060,1.400,22,7.300
1630527,Brandon Boston,1610612740,SG,42,23.600,1.833,0.364,1.650,0.505,2.070,0.290,15.907,2.600,23,13.700
1631107,Nikola Jović,1610612748,PF,46,25.100,2.154,0.410,3.000,0.555,1.260,0.540,31.765,2.600,21,16.600
1628960,Grayson Allen,1610612756,SG,64,24.100,1.750,0.440,2.000,0.599,1.380,0.330,21.956,2.200,29,12.500
1630553,Keon Johnson,1610612751,SG,79,24.400,1.467,0.369,1.000,0.465,1.840,0.250,24.294,3.900,22,14.600
1626179,Terry Rozier,1610612748,PG,64,25.900,2.167,0.309,2.000,0.465,1.120,0.330,11.161,1.600,30,14.800
1630167,Obi Toppin,1610612754,PF,79,19.600,1.778,0.386,1.600,0.618,1.110,0.750,20.635,2.500,26,11.900
1629684,Grant Williams,1610612766,PF,16,29.900,1.278,0.460,4.000,0.552,1.630,2.380,39.012,3.500,26,11.300
1642377,Jaylen Wells,1610612763,SG,79,25.900,1.889,0.326,1.000,0.517,0.950,0.160,16.787,2.600,21,8.400
202685,Jonas Valančiūnas,1610612758,C,81,18.800,1.333,0.595,0.250,0.565,0.900,2.680,98.698,4.300,32,17.600
1630534,Ochai Agbaji,1610612761,SG,64,27.200,1.875,0.306,1.688,0.602,2.090,0.390,24.636,2.600,24,7.900
1629001,De'Anthony Melton,1610612751,SG,6,20.200,1.647,,1.482,0.533,2.500,0.330,,5.400,26,21.100
1630529,Herbert Jones,1610612740,SF,20,32.400,1.833,0.392,6.000,0.506,4.550,0.900,35.853,3.700,26,13.800
1630631,Jose Alvarado,1610612740,PG,56,24.400,3.067,0.352,6.000,0.495,2.650,0.240,11.892,2.400,26,27.300
1629645,Kevin Porter Jr.,1610612749,SG,75,19.800,1.889,0.366,0.333,0.489,1.840,0.120,41.752,2.900,24,25.900
