Player,Team,G,MP,Fouls Committed_Shoot,shooting_fouls_per_36
Jonas ValanÄiÅ«nas,SAC,32,541,48,3.194
Kyle Filipowski,UTA,72,1522,99,2.342
Ja Morant,MEM,50,1519,50,1.185
Matas Buzelis,CHI,80,1511,97,2.311
LaMelo Ball,CHO,47,1505,50,1.196
Dalton Knecht,LAL,78,1494,62,1.494
Kevin Porter Jr.,2TM,75,1482,49,1.19
Kevin Porter Jr.,LAC,45,884,33,1.344
Kevin Porter Jr.,MIL,30,598,16,0.963
D'Angelo Russell,2TM,58,1480,55,1.338
D'Angelo Russell,LAL,29,763,24,1.132
D'Angelo Russell,BRK,29,717,31,1.556
Lauri Markkanen,UTA,47,1476,39,0.951
Luke Kennard,MEM,65,1472,27,0.66
Jamal Shead,TOR,75,1467,71,1.742
Aaron Gordon,DEN,51,1447,53,1.319
Isaiah Stewart,DET,72,1434,85,2.134
Brice Sensabaugh,UTA,71,1432,55,1.383
Goga Bitadze,ORL,70,1430,75,1.888
Kel'el Ware,MIA,64,1422,87,2.203
Tari Eason,HOU,57,1420,64,1.623
Zach Edey,MEM,66,1416,108,2.746
T.J. McConnell,IND,79,1415,44,1.119
Terance Mann,2TM,67,1414,55,1.4
Terance Mann,LAC,37,732,28,1.377
Terance Mann,ATL,30,682,27,1.425
Ryan Dunn,PHO,74,1410,93,2.374
Sam Merrill,CLE,71,1401,65,1.67
Ayo Dosunmu,CHI,46,1394,52,1.343
Ty Jerome,CLE,70,1392,33,0.853
Julian Strawther,DEN,65,1384,87,2.263
Nick Smith Jr.,CHO,60,1369,43,1.131
Jaime Jaquez Jr.,MIA,66,1368,51,1.342
Nicolas Batum,LAC,78,1367,55,1.448
Jose Alvarado,NOP,56,1366,31,0.817
Jeremy Sochan,SAS,54,1364,48,1.267
Luke Kornet,BOS,73,1361,80,2.116
Trey Lyles,SAC,69,1349,56,1.494
Jake LaRavia,2TM,66,1349,64,1.708
Jake LaRavia,MEM,47,982,43,1.576
Jake LaRavia,SAC,19,367,21,2.06
Bogdan BogdanoviÄ,2TM,54,1348,58,1.549
Bogdan BogdanoviÄ,ATL,24,598,27,1.625
Bogdan BogdanoviÄ,LAC,30,750,31,1.488
Justin Champagnie,WAS,62,1340,59,1.585
Paul George,PHI,41,1334,42,1.133
Ausar Thompson,DET,59,1328,58,1.572
Donovan Clingan,POR,67,1324,130,3.535
Jordan Hawkins,NOP,56,1321,30,0.818
Tyrese Martin,BRK,60,1315,34,0.931
Mason Plumlee,PHO,74,1300,97,2.686
Jonathan Mogbo,TOR,63,1286,75,2.1
Jalen Johnson,ATL,36,1284,34,0.953
Max Strus,CLE,50,1273,59,1.668
Johnny Juzang,UTA,64,1270,81,2.296
Ron Holland,DET,81,1266,67,1.905
Javonte Green,2TM,68,1258,59,1.688
Javonte Green,NOP,50,1092,48,1.582
Javonte Green,CLE,18,166,11,2.386
Nick Richards,2TM,57,1256,83,2.379
Nick Richards,CHO,21,440,27,2.209
Nick Richards,PHO,36,816,56,2.471
Dean Wade,CLE,59,1252,56,1.61
Ricky Council IV,PHI,73,1250,31,0.893
Tidjane SalaÃ¼n,CHO,60,1244,44,1.273
Bobby Portis,MIL,49,1244,56,1.621
Moussa DiabatÃ©,CHO,71,1241,49,1.421
Jeremiah Robinson-Earl,NOP,66,1239,50,1.453
Simone Fontecchio,DET,75,1237,52,1.513
Cole Anthony,ORL,67,1234,68,1.984
Ben Sheppard,IND,63,1228,85,2.492
Daniel Gafford,DAL,57,1226,92,2.701
John Collins,UTA,40,1220,60,1.77
Caleb Martin,2TM,45,1218,37,1.094
Caleb Martin,PHI,31,943,23,0.878
Caleb Martin,DAL,14,275,14,1.833
Kristaps PorziÅÄ£is,BOS,42,1210,65,1.934
Brandon Clarke,MEM,64,1207,87,2.595
Deandre Ayton,POR,40,1206,56,1.672
Jarace Walker,IND,75,1187,60,1.82
Kawhi Leonard,LAC,37,1180,23,0.702
Clint Capela,ATL,55,1176,59,1.806
Cody Martin,2TM,53,1173,49,1.504
Cody Martin,CHO,39,967,34,1.266
Cody Martin,PHO,14,206,15,2.621
Mark Williams,CHO,44,1171,60,1.845
Precious Achiuwa,NYK,57,1170,53,1.631
Nikola JoviÄ,MIA,46,1156,47,1.464
Justin Edwards,PHI,44,1155,58,1.808
Vit Krejci,ATL,57,1153,55,1.717
Jonathan Kuminga,GSW,47,1144,39,1.227
Kevon Looney,GSW,76,1142,86,2.711
Kenrich Williams,OKC,69,1132,53,1.686
Julian Phillips,CHI,79,1123,53,1.699
Aaron Nesmith,IND,45,1123,63,2.02
Dalano Banton,POR,67,1120,34,1.093
Ben Simmons,2TM,51,1120,47,1.511
Ben Simmons,BRK,33,825,33,1.44
Ben Simmons,LAC,18,295,14,1.708
Ja'Kobe Walter,TOR,52,1103,58,1.893
Jaxson Hayes,LAL,56,1093,95,3.129
Cameron Payne,NYK,72,1090,52,1.717
Jonathan Isaac,ORL,71,1090,54,1.783
DaQuan Jeffries,CHO,47,1071,70,2.353
Jusuf NurkiÄ,2TM,51,1063,71,2.405
Jusuf NurkiÄ,PHO,25,592,43,2.615
Jusuf NurkiÄ,CHO,26,471,28,2.14
Seth Curry,CHO,68,1062,26,0.881
Cody Williams,UTA,50,1060,52,1.766
Isaac Okoro,CLE,55,1053,58,1.983
Oso Ighodaro,PHO,61,1045,65,2.239
Jared Butler,2TM,60,1044,49,1.69
Jared Butler,WAS,32,362,21,2.088
Jared Butler,PHI,28,682,28,1.478
Jamison Battle,TOR,59,1042,42,1.451
Noah Clowney,BRK,46,1042,58,2.004
Alex Caruso,OKC,54,1041,50,1.729
Kris Murray,POR,69,1040,34,1.177
Dejounte Murray,NOP,31,1012,21,0.747
Jalen Suggs,ORL,35,1002,43,1.545
Kyle Anderson,2TM,61,1002,40,1.437
Kyle Anderson,GSW,36,541,19,1.264
Kyle Anderson,MIA,25,461,21,1.64
Brandon Boston Jr.,NOP,42,993,33,1.196
Dalen Terry,CHI,73,987,65,2.371
Andre Jackson Jr.,MIL,67,980,51,1.873
Zach Collins,2TM,64,977,81,2.985
Zach Collins,SAS,36,425,38,3.219
Zach Collins,CHI,28,552,43,2.804
Trayce Jackson-Davis,GSW,62,967,44,1.638
Thomas Bryant,2TM,66,963,48,1.794
Thomas Bryant,MIA,10,115,5,1.565
Thomas Bryant,IND,56,848,43,1.825
Jalen Smith,CHI,64,962,59,2.208
Jordan Clarkson,UTA,37,962,24,0.898
Gary Payton II,GSW,62,927,38,1.476
Brandon Miller,CHO,27,924,27,1.052
Bruce Brown,2TM,41,922,32,1.249
Bruce Brown,TOR,18,353,13,1.326
Bruce Brown,NOP,23,569,19,1.202
Immanuel Quickley,TOR,33,918,26,1.02
Trendon Watford,BRK,44,913,43,1.696
KJ Martin,2TM,43,912,61,2.408
KJ Martin,PHI,24,480,38,2.85
KJ Martin,UTA,19,432,23,1.917
Jaden Hardy,DAL,57,907,49,1.945
Day'Ron Sharpe,BRK,50,907,45,1.786
Adem Bona,PHI,58,905,68,2.705
Tre Jones,2TM,46,905,24,0.955
Tre Jones,SAS,28,450,15,1.2
Tre Jones,CHI,18,455,9,0.712
Jaden Ivey,DET,30,898,23,0.922
Kelly Olynyk,2TM,44,891,73,2.949
Kelly Olynyk,TOR,24,383,33,3.102
Kelly Olynyk,NOP,20,508,40,2.835
Chet Holmgren,OKC,32,877,41,1.683
Neemias Queta,BOS,62,863,57,2.378
Alec Burks,MIA,49,863,24,1.001
Chris Boucher,TOR,50,862,42,1.754
Zion Williamson,NOP,30,857,41,1.722
Khris Middleton,2TM,37,843,29,1.238
Khris Middleton,MIL,23,534,20,1.348
Khris Middleton,WAS,14,309,9,1.049
KJ Simpson,CHO,36,842,27,1.154
Shake Milton,2TM,57,837,31,1.333
Shake Milton,BRK,27,492,18,1.317
Shake Milton,LAL,30,345,13,1.357
Dereck Lively II,DAL,36,833,61,2.636
Garrison Mathews,ATL,47,830,41,1.778
Cam Whitmore,HOU,51,827,25,1.088
Ryan Rollins,MIL,56,820,49,2.151
Marcus Sasser,DET,57,811,34,1.509
Steven Adams,HOU,58,794,31,1.406
Aaron Holiday,HOU,62,792,34,1.545
Karlo MatkoviÄ,NOP,42,791,67,3.049
Caleb Houstan,ORL,58,788,26,1.188
Vasilije MiciÄ,2TM,41,785,23,1.055
Vasilije MiciÄ,CHO,36,764,23,1.084
Vasilije MiciÄ,PHO,5,21,0,0.0
Jaylin Williams,OKC,47,784,53,2.434
Pelle Larsson,MIA,55,782,50,2.302
Cam Thomas,BRK,25,781,24,1.106
Lindy Waters III,2TM,52,778,36,1.666
Lindy Waters III,GSW,38,655,32,1.759
Lindy Waters III,DET,14,123,4,1.171
Lonzo Ball,CHI,35,777,30,1.39
